session,touch,time,data,time_sec,touch_type
1,3,13,0.0,-0.5000000000000003,Snout-to-body contact
1,3,14,0.0,-0.16666666666666727,Snout-to-body contact
1,3,15,0.0,0.16666666666666666,Snout-to-body contact
1,3,16,0.0,0.49999999999999967,Snout-to-body contact
1,3,17,0.0,0.8333333333333327,Snout-to-body contact
1,3,18,0.0,1.1666666666666667,Snout-to-body contact
1,3,19,0.0,1.4999999999999998,Snout-to-body contact
1,3,20,0.0,1.8333333333333328,Snout-to-body contact
1,3,21,0.0,2.1666666666666665,Snout-to-body contact
1,3,22,0.0,2.4999999999999996,Snout-to-body contact
1,3,23,0.0,2.8333333333333326,Snout-to-body contact
1,3,24,0.0,3.1666666666666665,Snout-to-body contact
1,3,25,0.0,3.4999999999999987,Snout-to-body contact
1,3,26,0.0,3.8333333333333326,Snout-to-body contact
1,3,27,0.0,4.166666666666667,Snout-to-body contact
1,3,28,0.0,4.499999999999999,Snout-to-body contact
1,3,29,0.0,4.833333333333333,Snout-to-body contact
1,3,30,0.0,5.166666666666667,Snout-to-body contact
1,3,31,0.0,5.499999999999999,Snout-to-body contact
1,3,32,0.0,5.833333333333333,Snout-to-body contact
1,3,33,0.0,6.166666666666667,Snout-to-body contact
1,3,34,0.0,6.499999999999999,Snout-to-body contact
1,3,35,0.0,6.833333333333333,Snout-to-body contact
1,3,36,0.0,7.166666666666667,Snout-to-body contact
1,3,37,0.0,7.499999999999999,Snout-to-body contact
1,3,38,0.0,7.833333333333333,Snout-to-body contact
1,3,39,0.0,8.166666666666666,Snout-to-body contact
1,3,40,0.0,8.499999999999998,Snout-to-body contact
1,3,41,0.0,8.833333333333332,Snout-to-body contact
1,3,42,0.0,9.166666666666666,Snout-to-body contact
1,3,43,0.0,9.499999999999998,Snout-to-body contact
1,3,44,0.0,9.833333333333332,Snout-to-body contact
1,4,0,0.0,-4.833333333333333,Anogenital sniffing
1,4,1,0.0,-4.5,Anogenital sniffing
1,4,2,0.0,-4.166666666666666,Anogenital sniffing
1,4,3,0.0,-3.8333333333333335,Anogenital sniffing
1,4,4,0.0,-3.5000000000000004,Anogenital sniffing
1,4,5,0.0,-3.166666666666667,Anogenital sniffing
1,4,6,0.0,-2.8333333333333335,Anogenital sniffing
1,4,7,0.0,-2.5000000000000004,Anogenital sniffing
1,4,8,0.0,-2.166666666666667,Anogenital sniffing
1,4,9,0.0,-1.8333333333333333,Anogenital sniffing
1,4,10,0.0,-1.5000000000000002,Anogenital sniffing
1,4,11,0.0,-1.1666666666666667,Anogenital sniffing
