session,condition,time,data,experiment
15,1,3,0.04918032786885246,noise
15,1,4,0.08196721311475409,noise
15,1,5,0.08196721311475409,noise
15,1,6,0.13114754098360656,noise
15,1,7,0.16393442622950818,noise
15,1,8,0.09836065573770492,noise
15,1,9,0.09836065573770492,noise
16,0,0,0.15517241379310345,noise
16,0,1,0.13793103448275862,noise
16,0,2,0.05172413793103448,noise
16,0,3,0.017241379310344827,noise
16,0,4,0.1896551724137931,noise
16,0,5,0.05172413793103448,noise
16,0,6,0.20689655172413793,noise
16,0,7,0.08620689655172414,noise
16,0,8,0.05172413793103448,noise
16,0,9,0.05172413793103448,noise
16,1,0,0.0,noise
16,1,1,0.0,noise
16,1,2,0.2222222222222222,noise
16,1,3,0.2777777777777778,noise
16,1,4,0.2777777777777778,noise
16,1,5,0.1111111111111111,noise
16,1,6,0.1111111111111111,noise
16,1,7,0.0,noise
16,1,8,0.0,noise
16,1,9,0.0,noise
17,0,0,0.14285714285714285,noise
17,0,1,0.0,noise
17,0,2,0.14285714285714285,noise
17,0,3,0.0,noise
17,0,4,0.35714285714285715,noise
17,0,5,0.14285714285714285,noise
17,0,6,0.0,noise
17,0,7,0.14285714285714285,noise
17,0,8,0.0,noise
17,0,9,0.07142857142857142,noise
17,1,0,0.13043478260869565,noise
17,1,1,0.13043478260869565,noise
17,1,2,0.043478260869565216,noise
17,1,3,0.043478260869565216,noise
17,1,4,0.043478260869565216,noise
17,1,5,0.17391304347826086,noise
17,1,6,0.0,noise
17,1,7,0.08695652173913043,noise
17,1,8,0.2608695652173913,noise
17,1,9,0.08695652173913043,noise
18,0,0,0.17857142857142858,noise
18,0,1,0.17857142857142858,noise
18,0,2,0.10714285714285714,noise
18,0,3,0.03571428571428571,noise
18,0,4,0.07142857142857142,noise
18,0,5,0.14285714285714285,noise
18,0,6,0.03571428571428571,noise
18,0,7,0.0,noise
18,0,8,0.0,noise
18,0,9,0.25,noise
18,1,0,0.4,noise
18,1,1,0.1,noise
18,1,2,0.0,noise
18,1,3,0.0,noise
18,1,4,0.0,noise
18,1,5,0.1,noise
18,1,6,0.0,noise
18,1,7,0.1,noise
18,1,8,0.1,noise
18,1,9,0.2,noise
19,0,0,0.0,noise
19,0,1,0.0,noise
19,0,2,0.0,noise
19,0,3,0.0,noise
19,0,4,0.0,noise
19,0,5,0.0,noise
19,0,6,0.5,noise
19,0,7,0.0,noise
19,0,8,0.5,noise
19,0,9,0.0,noise
19,1,0,0.0,noise
19,1,1,0.0,noise
19,1,2,0.0,noise
19,1,3,0.0,noise
19,1,4,0.0,noise
19,1,5,1.0,noise
19,1,6,0.0,noise
19,1,7,0.0,noise
19,1,8,0.0,noise
19,1,9,0.0,noise
0,0,0,0.14492753623188406,sc
0,0,1,0.08695652173913043,sc
0,0,2,0.08695652173913043,sc
0,0,3,0.13043478260869565,sc
0,0,4,0.057971014492753624,sc
0,0,5,0.10144927536231885,sc
0,0,6,0.14492753623188406,sc
0,0,7,0.10144927536231885,sc
0,0,8,0.07246376811594203,sc
0,0,9,0.07246376811594203,sc
0,1,0,0.1875,sc
0,1,1,0.25,sc
0,1,2,0.125,sc
0,1,3,0.0625,sc
0,1,4,0.0625,sc
0,1,5,0.0625,sc
0,1,6,0.125,sc
0,1,7,0.125,sc
0,1,8,0.0,sc
0,1,9,0.0,sc
1,0,0,,sc
1,0,1,,sc
1,0,2,,sc
1,0,3,,sc
1,0,4,,sc
1,0,5,,sc
1,0,6,,sc
1,0,7,,sc
1,0,8,,sc
1,0,9,,sc
1,1,0,,sc
1,1,1,,sc
1,1,2,,sc
1,1,3,,sc
1,1,4,,sc
1,1,5,,sc
1,1,6,,sc
1,1,7,,sc
1,1,8,,sc
1,1,9,,sc
2,0,0,0.1935483870967742,sc
2,0,1,0.1935483870967742,sc
2,0,2,0.0,sc
2,0,3,0.0,sc
2,0,4,0.08064516129032258,sc
2,0,5,0.08064516129032258,sc
2,0,6,0.11290322580645161,sc
2,0,7,0.0967741935483871,sc
2,0,8,0.1935483870967742,sc
2,0,9,0.04838709677419355,sc
2,1,0,0.08333333333333333,sc
2,1,1,0.11666666666666667,sc
2,1,2,0.11666666666666667,sc
2,1,3,0.1,sc
2,1,4,0.11666666666666667,sc
2,1,5,0.08333333333333333,sc
2,1,6,0.08333333333333333,sc
2,1,7,0.08333333333333333,sc
2,1,8,0.1,sc
2,1,9,0.11666666666666667,sc
3,0,0,0.0,sc
3,0,1,0.0,sc
3,0,2,0.0,sc
3,0,3,0.0,sc
3,0,4,0.0,sc
3,0,5,0.0,sc
3,0,6,0.0,sc
3,0,7,0.16666666666666666,sc
3,0,8,0.0,sc
3,0,9,0.8333333333333334,sc
3,1,0,0.2222222222222222,sc
3,1,1,0.0,sc
3,1,2,0.2222222222222222,sc
3,1,3,0.1111111111111111,sc
3,1,4,0.037037037037037035,sc
3,1,5,0.07407407407407407,sc
3,1,6,0.14814814814814814,sc
3,1,7,0.037037037037037035,sc
3,1,8,0.07407407407407407,sc
3,1,9,0.07407407407407407,sc
4,0,0,,sc
4,0,1,,sc
4,0,2,,sc
4,0,3,,sc
4,0,4,,sc
4,0,5,,sc
4,0,6,,sc
4,0,7,,sc
4,0,8,,sc
4,0,9,,sc
4,1,0,,sc
4,1,1,,sc
4,1,2,,sc
4,1,3,,sc
4,1,4,,sc
4,1,5,,sc
4,1,6,,sc
4,1,7,,sc
4,1,8,,sc
4,1,9,,sc
5,0,0,,sc
5,0,1,,sc
5,0,2,,sc
5,0,3,,sc
5,0,4,,sc
5,0,5,,sc
5,0,6,,sc
5,0,7,,sc
5,0,8,,sc
5,0,9,,sc
5,1,0,0.0,sc
5,1,1,0.0,sc
5,1,2,0.21428571428571427,sc
5,1,3,0.0,sc
5,1,4,0.0,sc
5,1,5,0.0,sc
5,1,6,0.21428571428571427,sc
5,1,7,0.07142857142857142,sc
5,1,8,0.0,sc
5,1,9,0.5,sc
6,0,0,,sc
6,0,1,,sc
6,0,2,,sc
6,0,3,,sc
6,0,4,,sc
6,0,5,,sc
6,0,6,,sc
6,0,7,,sc
6,0,8,,sc
6,0,9,,sc
6,1,0,,sc
6,1,1,,sc
6,1,2,,sc
6,1,3,,sc
6,1,4,,sc
6,1,5,,sc
6,1,6,,sc
6,1,7,,sc
6,1,8,,sc
6,1,9,,sc
7,0,0,0.09322033898305085,sc
7,0,1,0.1016949152542373,sc
7,0,2,0.11864406779661017,sc
7,0,3,0.11016949152542373,sc
7,0,4,0.11016949152542373,sc
7,0,5,0.09322033898305085,sc
7,0,6,0.0847457627118644,sc
7,0,7,0.1016949152542373,sc
7,0,8,0.1016949152542373,sc
7,0,9,0.0847457627118644,sc
7,1,0,0.07692307692307693,sc
7,1,1,0.07692307692307693,sc
7,1,2,0.13846153846153847,sc
7,1,3,0.06153846153846154,sc
7,1,4,0.09230769230769231,sc
7,1,5,0.12307692307692308,sc
7,1,6,0.1076923076923077,sc
7,1,7,0.1076923076923077,sc
7,1,8,0.13846153846153847,sc
7,1,9,0.07692307692307693,sc
8,0,0,0.14285714285714285,sc
8,0,1,0.13095238095238096,sc
8,0,2,0.14285714285714285,sc
8,0,3,0.10714285714285714,sc
8,0,4,0.08333333333333333,sc
8,0,5,0.047619047619047616,sc
8,0,6,0.07142857142857142,sc
8,0,7,0.08333333333333333,sc
8,0,8,0.11904761904761904,sc
8,0,9,0.07142857142857142,sc
8,1,0,0.2,sc
8,1,1,0.125,sc
8,1,2,0.0,sc
8,1,3,0.175,sc
8,1,4,0.05,sc
8,1,5,0.05,sc
8,1,6,0.025,sc
8,1,7,0.1,sc
8,1,8,0.175,sc
8,1,9,0.1,sc
